CASNumber,HazardCode
66-71-7, H301, Acute Tox. 3
66-71-7, H400, Aquatic Acute 1
66-71-7, H410, Aquatic Chronic 1
85153-92-0, H334, Resp. Sens. 1
85153-92-0, H317, Skin Sens. 1
5248-39-5, H302, Acute Tox. 4
5248-39-5, H373, STOT RE 2
92484-48-5, H318, Eye Dam. 1
62096-63-3, H302, Acute Tox. 4
111298-82-9, H334, Resp. Sens. 1
111298-82-9, H317, Skin Sens. 1
111298-82-9, H412, Aquatic Chronic 3
2687-94-7, H314, Skin Corr. 1B
2687-94-7, H411, Aquatic Chronic 2
2687-96-9, H314, Skin Corr. 1B
2687-96-9, H317, Skin Sens. 1
2687-96-9, H400, Aquatic Acute 1
2687-96-9, H410, Aquatic Chronic 1
110799-28-5, H317, Skin Sens. 1
110799-28-5, H412, Aquatic Chronic 3
110488-70-5, H411, Aquatic Chronic 2
118685-34-0, H302, Acute Tox. 4
118685-34-0, H314, Skin Corr. 1B
118685-34-0, H317, Skin Sens. 1
118685-34-0, H411, Aquatic Chronic 2
124537-30-0, H301, Acute Tox. 3
124537-30-0, H317, Skin Sens. 1
124537-30-0, H412, Aquatic Chronic 3
76508-02-6, H319, Eye Irrit. 2
149-30-4, H317, Skin Sens. 1
149-30-4, H400, Aquatic Acute 1
149-30-4, H410, Aquatic Chronic 1
94-37-1, H335, STOT SE 3
94-37-1, H315, Skin Irrit. 2
94-37-1, H319, Eye Irrit. 2
94-37-1, H317, Skin Sens. 1
61432-55-1, H302, Acute Tox. 4
61432-55-1, H411, Aquatic Chronic 2
288-88-0, H361d, Repr. 2
288-88-0, H302, Acute Tox. 4
288-88-0, H319, Eye Irrit. 2
26530-20-1, H331, Acute Tox. 3
26530-20-1, H311, Acute Tox. 3
26530-20-1, H302, Acute Tox. 4
26530-20-1, H314, Skin Corr. 1B
26530-20-1, H317, Skin Sens. 1
26530-20-1, H400, Aquatic Acute 1
26530-20-1, H410, Aquatic Chronic 1
102-77-2, H315, Skin Irrit. 2
102-77-2, H319, Eye Irrit. 2
102-77-2, H317, Skin Sens. 1
102-77-2, H411, Aquatic Chronic 2
4719-04-4, H302, Acute Tox. 4
4719-04-4, H317, Skin Sens. 1
10004-44-1, H302, Acute Tox. 4
10004-44-1, H318, Eye Dam. 1
10004-44-1, H412, Aquatic Chronic 3
731-27-1, H330, Acute Tox. 2
731-27-1, H335, STOT SE 3
731-27-1, H372, STOT RE 1
731-27-1, H315, Skin Irrit. 2
731-27-1, H319, Eye Irrit. 2
731-27-1, H317, Skin Sens. 1
731-27-1, H400, Aquatic Acute 1
731-27-1, H335, STOT SE 3
731-27-1, H315, Skin Irrit. 2
731-27-1, H319, Eye Irrit. 2
731-27-1, H317, Skin Sens. 1
731-27-1, H400, Aquatic Acute 1
76714-88-0, H302, Acute Tox. 4
76714-88-0, H400, Aquatic Acute 1
76714-88-0, H410, Aquatic Chronic 1
37893-02-0, H319, Eye Irrit. 2
37893-02-0, H400, Aquatic Acute 1
37893-02-0, H410, Aquatic Chronic 1
21564-17-0, H330, Acute Tox. 2
21564-17-0, H302, Acute Tox. 4
21564-17-0, H315, Skin Irrit. 2
21564-17-0, H319, Eye Irrit. 2
21564-17-0, H317, Skin Sens. 1
21564-17-0, H400, Aquatic Acute 1
21564-17-0, H410, Aquatic Chronic 1
28434-01-7, H400, Aquatic Acute 1
28434-01-7, H410, Aquatic Chronic 1
64902-72-3, H400, Aquatic Acute 1
64902-72-3, H410, Aquatic Chronic 1
75736-33-3, H319, Eye Irrit. 2
75736-33-3, H411, Aquatic Chronic 2
33813-20-6, H302, Acute Tox. 4
33813-20-6, H400, Aquatic Acute 1
33813-20-6, H410, Aquatic Chronic 1
67564-91-4, H361d, Repr. 2
67564-91-4, H302, Acute Tox. 4
67564-91-4, H315, Skin Irrit. 2
67564-91-4, H411, Aquatic Chronic 2
78587-05-0, H400, Aquatic Acute 1
78587-05-0, H410, Aquatic Chronic 1
81334-34-1, H319, Eye Irrit. 2
81334-34-1, H412, Aquatic Chronic 3
24307-26-4, H302, Acute Tox. 4
24307-26-4, H412, Aquatic Chronic 3
67747-09-5, H302, Acute Tox. 4
67747-09-5, H400, Aquatic Acute 1
67747-09-5, H410, Aquatic Chronic 1
41394-05-2, H302, Acute Tox. 4
41394-05-2, H400, Aquatic Acute 1
57369-32-1, H302, Acute Tox. 4
57369-32-1, H412, Aquatic Chronic 3
51235-04-2, H302, Acute Tox. 4
51235-04-2, H319, Eye Irrit. 2
51235-04-2, H400, Aquatic Acute 1
51235-04-2, H410, Aquatic Chronic 1
2593-15-9, H351, Carc. 2
2593-15-9, H302, Acute Tox. 4
2593-15-9, H317, Skin Sens. 1
2593-15-9, H400, Aquatic Acute 1
2593-15-9, H410, Aquatic Chronic 1
88671-89-0, H361d, Repr. 2
88671-89-0, H302, Acute Tox. 4
88671-89-0, H319, Eye Irrit. 2
88671-89-0, H411, Aquatic Chronic 2
120-78-5, H317, Skin Sens. 1
120-78-5, H400, Aquatic Acute 1
120-78-5, H410, Aquatic Chronic 1
95-33-0, H317, Skin Sens. 1
95-33-0, H400, Aquatic Acute 1
95-33-0, H410, Aquatic Chronic 1
18691-97-9, H400, Aquatic Acute 1
18691-97-9, H410, Aquatic Chronic 1
124495-18-7, H317, Skin Sens. 1
124495-18-7, H400, Aquatic Acute 1
124495-18-7, H410, Aquatic Chronic 1
74223-64-6, H400, Aquatic Acute 1
74223-64-6, H410, Aquatic Chronic 1
66-81-9, H341, Muta. 2
66-81-9, H360D, Repr. 1B
66-81-9, H300, Acute Tox. 2
66-81-9, H411, Aquatic Chronic 2
10551-42-5, H302, Acute Tox. 4
10551-42-5, H319, Eye Irrit. 2
10551-42-5, H412, Aquatic Chronic 3
77497-97-3, H411, Aquatic Chronic 2
4186-71-4, H302, Acute Tox. 4
4186-71-4, H411, Aquatic Chronic 2
111681-72-2, H318, Eye Dam. 1
143683-23-2, H317, Skin Sens. 1
143683-23-2, H412, Aquatic Chronic 3
96489-71-3, H331, Acute Tox. 3
96489-71-3, H301, Acute Tox. 3
96489-71-3, H400, Aquatic Acute 1
96489-71-3, H410, Aquatic Chronic 1
89392-03-0, H317, Skin Sens. 1
89392-03-0, H411, Aquatic Chronic 2
5734-64-5, H302, Acute Tox. 4
89402-43-7, H226, Flam. Liq. 3
89402-43-7, H302, Acute Tox. 4
89402-43-7, H412, Aquatic Chronic 3
83857-96-9, H317, Skin Sens. 1
83857-96-9, H411, Aquatic Chronic 2
54236-98-5, H302, Acute Tox. 4
54236-98-5, H373, STOT RE 2
54236-98-5, H319, Eye Irrit. 2
69045-84-7, H332, Acute Tox. 4
69045-84-7, H302, Acute Tox. 4
69045-84-7, H318, Eye Dam. 1
69045-84-7, H317, Skin Sens. 1
69045-84-7, H411, Aquatic Chronic 2
120928-09-8, H301, Acute Tox. 3
120928-09-8, H332, Acute Tox. 4
120928-09-8, H400, Aquatic Acute 1
120928-09-8, H410, Aquatic Chronic 1
125224-62-6, H317, Skin Sens. 1
76145-91-0, H373, STOT RE 2
76145-91-0, H317, Skin Sens. 1
76145-91-0, H412, Aquatic Chronic 3
100988-63-4, H341, Muta. 2
100988-63-4, H317, Skin Sens. 1
100988-63-4, H411, Aquatic Chronic 2
120162-55-2, H400, Aquatic Acute 1
120162-55-2, H410, Aquatic Chronic 1
142459-58-3, H302, Acute Tox. 4
142459-58-3, H373, STOT RE 2
142459-58-3, H317, Skin Sens. 1
142459-58-3, H400, Aquatic Acute 1
142459-58-3, H410, Aquatic Chronic 1
144740-54-5, H400, Aquatic Acute 1
144740-54-5, H410, Aquatic Chronic 1
103361-09-7, H360D, Repr. 1B
103361-09-7, H400, Aquatic Acute 1
103361-09-7, H410, Aquatic Chronic 1
55965-84-9, H330, Acute Tox. 2
55965-84-9, H301, Acute Tox. 2
55965-84-9, H314, Acute Tox. 3
55965-84-9, H318, Skin Corr. 1C
55965-84-9, H317, Eye Dam. 1
55965-84-9, H400, Skin Sens. 1A
55965-84-9, H410, Aquatic Acute 1
88-12-0, H351, Carc. 2
88-12-0, H332, Acute Tox. 4
88-12-0, H312, Acute Tox. 4
88-12-0, H302, Acute Tox. 4
88-12-0, H335, STOT SE 3
88-12-0, H373, STOT RE 2
88-12-0, H318, Eye Dam. 1
1484-13-5, H341, Muta. 2
1484-13-5, H312, Acute Tox. 4
1484-13-5, H302, Acute Tox. 4
1484-13-5, H315, Skin Irrit. 2
1484-13-5, H317, Skin Sens. 1
1484-13-5, H400, Aquatic Acute 1
1484-13-5, H410, Aquatic Chronic 1
694-64-4, H302, Acute Tox. 4
694-64-4, H318, Eye Dam. 1
694-64-4, H317, Skin Sens. 1
694-64-4, H411, Aquatic Chronic 2
79983-71-4, H302, Acute Tox. 4
79983-71-4, H317, Skin Sens. 1
79983-71-4, H411, Aquatic Chronic 2
17630-75-0, H361f, Repr. 2
17630-75-0, H302, Acute Tox. 4
17630-75-0, H317, Skin Sens. 1
17630-75-0, H412, Aquatic Chronic 3
136426-54-5, H331, Acute Tox. 3
136426-54-5, H301, Acute Tox. 3
136426-54-5, H312, Acute Tox. 4
136426-54-5, H372, STOT RE 1
136426-54-5, H315, Skin Irrit. 2
136426-54-5, H400, Aquatic Acute 1
136426-54-5, H410, Aquatic Chronic 1
112281-77-3, H332, Acute Tox. 4
112281-77-3, H302, Acute Tox. 4
112281-77-3, H411, Aquatic Chronic 2
133855-98-8, H351, Carc. 2
133855-98-8, H360Df, Repr. 1B
133855-98-8, H411, Aquatic Chronic 2
4524-95-2, H226, Flam. Liq. 3
4524-95-2, H312, Acute Tox. 4
4524-95-2, H302, Acute Tox. 4
4524-95-2, H373, STOT RE 2
4524-95-2, H314, Skin Corr. 1B
5470-82-6, H312, Acute Tox. 4
5470-82-6, H302, Acute Tox. 4
5470-82-6, H317, Skin Sens. 1
5470-82-6, H411, Aquatic Chronic 2
137796-06-6, H314, Skin Corr. 1B
137796-06-6, H317, Skin Sens. 1
111337-53-2, H302, Acute Tox. 4
111337-53-2, H314, Skin Corr. 1B
111337-53-2, H317, Skin Sens. 1
111337-53-2, H411, Aquatic Chronic 2
3741-80-8, H400, Aquatic Acute 1
3741-80-8, H410, Aquatic Chronic 1
67485-29-4, H302, Acute Tox. 4
67485-29-4, H372, STOT RE 1
67485-29-4, H319, Eye Irrit. 2
67485-29-4, H400, Aquatic Acute 1
67485-29-4, H410, Aquatic Chronic 1
65322-65-8, H351, Carc. 2
65322-65-8, H341, Muta. 2
65322-65-8, H302, Acute Tox. 4
65322-65-8, H315, Skin Irrit. 2
65322-65-8, H318, Eye Dam. 1
65322-65-8, H412, Aquatic Chronic 3
82633-79-2, H301, Acute Tox. 3
82633-79-2, H318, Eye Dam. 1
82633-79-2, H317, Skin Sens. 1
82633-79-2, H400, Aquatic Acute 1
82633-79-2, H410, Aquatic Chronic 1
76855-69-1, H319, Eye Irrit. 2
76855-69-1, H317, Skin Sens. 1
76855-69-1, H411, Aquatic Chronic 2
116256-11-2, H302, Acute Tox. 4
116256-11-2, H318, Eye Dam. 1
116256-11-2, H317, Skin Sens. 1
116256-11-2, H411, Aquatic Chronic 2
52667-88-6, H317, Skin Sens. 1
52667-88-6, H400, Aquatic Acute 1
52667-88-6, H410, Aquatic Chronic 1
149530-93-8, H302, Acute Tox. 4
149530-93-8, H317, Skin Sens. 1
143860-04-2, H360F, Repr. 1B
143860-04-2, H314, Skin Corr. 1B
143860-04-2, H400, Aquatic Acute 1
143860-04-2, H410, Aquatic Chronic 1
151860-15-0, H317, Skin Sens. 1
151860-15-0, H412, Aquatic Chronic 3
163062-28-0, H318, Eye Dam. 1
18600-59-4, H317, Skin Sens. 1
18600-59-4, H413, Aquatic Chronic 4
168113-78-8, H318, Eye Dam. 1
187547-46-2, H317, Skin Sens. 1
187547-46-2, H411, Aquatic Chronic 2
145963-84-4, H302, Acute Tox. 4
145963-84-4, H373, STOT RE 2
145963-84-4, H412, Aquatic Chronic 3
143322-57-0, H361f, Repr. 2
143322-57-0, H332, Acute Tox. 4
143322-57-0, H302, Acute Tox. 4
143322-57-0, H372, STOT RE 1
143322-57-0, H317, Skin Sens. 1
143322-57-0, H400, Aquatic Acute 1
143322-57-0, H410, Aquatic Chronic 1
123312-89-0, H351, Carc. 2
123312-89-0, H412, Aquatic Chronic 3
129630-19-9, H400, Aquatic Acute 1
129630-19-9, H410, Aquatic Chronic 1
129630-17-7, H400, Aquatic Acute 1
129630-17-7, H410, Aquatic Chronic 1
39807-15-3, H361d, Repr. 2
39807-15-3, H373, STOT RE 2
39807-15-3, H400, Aquatic Acute 1
39807-15-3, H410, Aquatic Chronic 1
60207-90-1, H360D, Repr. 1B
60207-90-1, H302, Acute Tox. 4
60207-90-1, H317, Skin Sens. 1
60207-90-1, H400, Aquatic Acute 1
60207-90-1, H410, Aquatic Chronic 1
161326-34-7, H400, Aquatic Acute 1
161326-34-7, H410, Aquatic Chronic 1
114311-32-9, H400, Aquatic Acute 1
114311-32-9, H410, Aquatic Chronic 1
63645-17-0, H301, Acute Tox. 3
63645-17-0, H373, STOT RE 2
63645-17-0, H317, Skin Sens. 1
63645-17-0, H411, Aquatic Chronic 2
88128-57-8, H373, STOT RE 2
88128-57-8, H412, Aquatic Chronic 3
74401-04-0, H317, Skin Sens. 1
74401-04-0, H412, Aquatic Chronic 3
133467-41-1, H302, Acute Tox. 4
133467-41-1, H400, Aquatic Acute 1
133467-41-1, H410, Aquatic Chronic 1
72830-09-2, H312, Acute Tox. 4
72830-09-2, H302, Acute Tox. 4
72830-09-2, H373, STOT RE 2
72830-09-2, H315, Skin Irrit. 2
72830-09-2, H318, Eye Dam. 1
72830-09-2, H317, Skin Sens. 1
72830-09-2, H411, Aquatic Chronic 2
162208-01-7, H400, Aquatic Acute 1
162208-01-7, H410, Aquatic Chronic 1
2380-86-1, H302, Acute Tox. 4
2380-86-1, H318, Eye Dam. 1
2380-86-1, H317, Skin Sens. 1
2380-86-1, H411, Aquatic Chronic 2
79185-77-6, H315, Skin Irrit. 2
79185-77-6, H411, Aquatic Chronic 2
147086-81-5, H302, Acute Tox. 4
18368-64-4, H312, Acute Tox. 4
18368-64-4, H302, Acute Tox. 4
18368-64-4, H315, Skin Irrit. 2
18368-64-4, H412, Aquatic Chronic 3
5117-12-4, H302, Acute Tox. 4
5117-12-4, H373, STOT RE 2
5117-12-4, H318, Eye Dam. 1
5117-12-4, H317, Skin Sens. 1
136122-15-1, H302, Acute Tox. 4
136122-15-1, H314, Skin Corr. 1B
136122-15-1, H317, Skin Sens. 1
136122-15-1, H400, Aquatic Acute 1
136122-15-1, H410, Aquatic Chronic 1
163831-67-2, H318, Eye Dam. 1
163831-67-2, H400, Aquatic Acute 1
163831-67-2, H410, Aquatic Chronic 1
99199-90-3, H317, Skin Sens. 1
99199-90-3, H411, Aquatic Chronic 2
793669-26-8, H411, Aquatic Chronic 2
106917-31-1, H315, Skin Irrit. 2
106917-31-1, H317, Skin Sens. 1
106917-31-1, H400, Aquatic Acute 1
106917-31-1, H410, Aquatic Chronic 1
145701-23-1, H400, Aquatic Acute 1
145701-23-1, H410, Aquatic Chronic 1
28365-08-4, H302, Acute Tox. 4
28365-08-4, H373, STOT RE 2
28365-08-4, H411, Aquatic Chronic 2
163269-30-5, H331, Acute Tox. 3
163269-30-5, H373, STOT RE 2
163269-30-5, H318, Eye Dam. 1
163269-30-5, H400, Aquatic Acute 1
163269-30-5, H410, Aquatic Chronic 1
56552-15-9, H318, Eye Dam. 1
18087-70-2, H302, Acute Tox. 4
18087-70-2, H319, Eye Irrit. 2
6364-17-6, H302, Acute Tox. 4
6364-17-6, H373, STOT RE 2
6364-17-6, H317, Skin Sens. 1
6364-17-6, H400, Aquatic Acute 1
6364-17-6, H410, Aquatic Chronic 1
65753-47-1, H311, Acute Tox. 3
65753-47-1, H301, Acute Tox. 3
65753-47-1, H372, STOT RE 1
65753-47-1, H314, Skin Corr. 1B
65753-47-1, H412, Aquatic Chronic 3
133949-92-5, H413, Aquatic Chronic 4
81992-66-7, H317, Skin Sens. 1
81992-66-7, H400, Aquatic Acute 1
81992-66-7, H410, Aquatic Chronic 1
64137-52-6, H318, Eye Dam. 1
64137-52-6, H412, Aquatic Chronic 3
3250-74-6, H318, Eye Dam. 1
191877-09-5, H318, Eye Dam. 1
182235-14-9, H411, Aquatic Chronic 2
21873-52-9, H411, Aquatic Chronic 2
94239-04-0, H226, Flam. Liq. 3
94239-04-0, H332, Acute Tox. 4
94239-04-0, H302, Acute Tox. 4
94239-04-0, H412, Aquatic Chronic 3
103577-66-8, H412, Aquatic Chronic 3
107786-36-7, H413, Aquatic Chronic 4
2820-37-3, H302, Acute Tox. 4
2820-37-3, H318, Eye Dam. 1
2820-37-3, H412, Aquatic Chronic 3
155601-30-2, H318, Eye Dam. 1
155601-30-2, H317, Skin Sens. 1
155601-30-2, H411, Aquatic Chronic 2
180637-89-2, H302, Acute Tox. 4
180637-89-2, H373, STOT RE 2
180637-89-2, H318, Eye Dam. 1
180637-89-2, H317, Skin Sens. 1
68157-60-8, H351, Carc. 2
68157-60-8, H411, Aquatic Chronic 2
38313-48-3, H412, Aquatic Chronic 3
170222-39-6, H317, Skin Sens. 1
170222-39-6, H413, Aquatic Chronic 4
202420-04-0, H314, Skin Corr. 1B
202420-04-0, H412, Aquatic Chronic 3
72963-72-5, H302, Acute Tox. 4
72963-72-5, H400, Aquatic Acute 1
72963-72-5, H410, Aquatic Chronic 1
4023-02-3, H302, Acute Tox. 4
4023-02-3, H373, STOT RE 2
4023-02-3, H318, Eye Dam. 1
4023-02-3, H317, Skin Sens. 1
4023-02-3, H412, Aquatic Chronic 3
180850-95-7, H318, Eye Dam. 1
105827-91-6, H311, Acute Tox. 3
105827-91-6, H302, Acute Tox. 4
105827-91-6, H314, Skin Corr. 1B
105827-91-6, H317, Skin Sens. 1
105827-91-6, H411, Aquatic Chronic 2
153719-23-4, H302, Acute Tox. 4
153719-23-4, H400, Aquatic Acute 1
153719-23-4, H410, Aquatic Chronic 1
151213-39-7, H332, Acute Tox. 4
151213-39-7, H302, Acute Tox. 4
151213-39-7, H373, STOT RE 2
151213-39-7, H314, Skin Corr. 1B
151213-39-7, H411, Aquatic Chronic 2
26364-65-8, H302, Acute Tox. 4
26364-65-8, H373, STOT RE 2
26364-65-8, H412, Aquatic Chronic 3
113171-13-4, H412, Aquatic Chronic 3
142469-14-5, H317, Skin Sens. 1
142469-14-5, H400, Aquatic Acute 1
142469-14-5, H410, Aquatic Chronic 1
192439-46-6, H411, Aquatic Chronic 2
140623-89-8, H302, Acute Tox. 4
140623-89-8, H314, Skin Corr. 1B
140623-89-8, H317, Skin Sens. 1
140623-89-8, H400, Aquatic Acute 1
140623-89-8, H410, Aquatic Chronic 1
93076-03-0, H301, Acute Tox. 3
93076-03-0, H371, STOT SE 2
93076-03-0, H373, STOT RE 2
93076-03-0, H318, Eye Dam. 1
93076-03-0, H317, Skin Sens. 1
93076-03-0, H411, Aquatic Chronic 2
98377-35-6, H317, Skin Sens. 1
98377-35-6, H412, Aquatic Chronic 3
79568-06-2, H373, STOT RE 2
79568-06-2, H400, Aquatic Acute 1
79568-06-2, H410, Aquatic Chronic 1
43057-68-7, H302, Acute Tox. 4
43057-68-7, H373, STOT RE 2
43057-68-7, H400, Aquatic Acute 1
43057-68-7, H410, Aquatic Chronic 1
7226-23-5, H361f, Repr. 2
7226-23-5, H302, Acute Tox. 4
7226-23-5, H318, Eye Dam. 1
91-22-5, H350, Carc. 1B
91-22-5, H341, Muta. 2
91-22-5, H312, Acute Tox. 4
91-22-5, H302, Acute Tox. 4
91-22-5, H315, Skin Irrit. 2
91-22-5, H319, Eye Irrit. 2
91-22-5, H411, Aquatic Chronic 2
131983-72-7, H411, Aquatic Chronic 2
65277-42-1, H360F, Repr. 1B
65277-42-1, H301, Acute Tox. 3
65277-42-1, H373, STOT RE 2
65277-42-1, H400, Aquatic Acute 1
65277-42-1, H410, Aquatic Chronic 1
125116-23-6, H361d, Repr. 2
125116-23-6, H302, Acute Tox. 4
125116-23-6, H411, Aquatic Chronic 2
2592-95-2, H203, Expl. 1.3
123333-53-9, H203, Expl. 1.3
183196-57-8, H317, Skin Sens. 1
183196-57-8, H360D, Repr. 1B
183196-57-8, H317, Skin Sens. 1
160194-26-3, H302, Acute Tox. 4
160194-26-3, H317, Skin Sens. 1
160194-26-3, H411, Aquatic Chronic 2
135756-61-5, H302, Acute Tox. 4
135756-61-5, H318, Eye Dam. 1
135756-61-5, H412, Aquatic Chronic 3
142623-48-1, H400, Aquatic Acute 1
142623-48-1, H410, Aquatic Chronic 1
189012-93-9, H318, Eye Dam. 1
189012-93-9, H317, Skin Sens. 1
189012-93-9, H400, Aquatic Acute 1
189012-93-9, H410, Aquatic Chronic 1
106461-41-0, H373, STOT RE 2
106461-41-0, H400, Aquatic Acute 1
106461-41-0, H410, Aquatic Chronic 1
26157-73-3, H341, Muta. 2
26157-73-3, H412, Aquatic Chronic 3
444065-11-6, H413, Aquatic Chronic 4
379268-96-9, H413, Aquatic Chronic 4
363138-44-7, H302, Acute Tox. 4
363138-44-7, H318, Eye Dam. 1
363138-44-7, H412, Aquatic Chronic 3
243858-60-8, H318, Eye Dam. 1
95737-68-1, H400, Aquatic Acute 1
95737-68-1, H410, Aquatic Chronic 1
138937-28-7, H302, Acute Tox. 4
138937-28-7, H318, Eye Dam. 1
3147-77-1, H413, Aquatic Chronic 4
82911-69-1, H302, Acute Tox. 4
82911-69-1, H317, Skin Sens. 1
82911-69-1, H411, Aquatic Chronic 2
210880-92-5, H302, Acute Tox. 4
210880-92-5, H400, Aquatic Acute 1
210880-92-5, H410, Aquatic Chronic 1
7305-71-7, H302, Acute Tox. 4
7305-71-7, H373, STOT RE 2
7305-71-7, H400, Aquatic Acute 1
7305-71-7, H410, Aquatic Chronic 1
5271-27-2, H312, Acute Tox. 4
5271-27-2, H302, Acute Tox. 4
5271-27-2, H315, Skin Irrit. 2
5271-27-2, H318, Eye Dam. 1
5271-27-2, H412, Aquatic Chronic 3
105813-13-6, H302, Acute Tox. 4
105813-13-6, H317, Skin Sens. 1
105813-13-6, H400, Aquatic Acute 1
105813-13-6, H410, Aquatic Chronic 1
152460-07-6, H302, Acute Tox. 4
152460-07-6, H319, Eye Irrit. 2
152460-07-6, H317, Skin Sens. 1
152460-07-6, H412, Aquatic Chronic 3
173838-67-0, H412, Aquatic Chronic 3
7693-82-5, H400, Aquatic Acute 1
7693-82-5, H410, Aquatic Chronic 1
52234-82-9, H341, Muta. 2
52234-82-9, H318, Eye Dam. 1
52234-82-9, H317, Skin Sens. 1
66246-88-6, H361d, Repr. 2
66246-88-6, H302, Acute Tox. 4
66246-88-6, H400, Aquatic Acute 1
66246-88-6, H410, Aquatic Chronic 1
473798-59-3, H400, Aquatic Acute 1
473798-59-3, H410, Aquatic Chronic 1
288-32-4, H360D, Repr. 1B
288-32-4, H302, Acute Tox. 4
288-32-4, H314, Skin Corr. 1C
2164-08-1, H351, Carc. 2
2164-08-1, H400, Aquatic Acute 1
2164-08-1, H410, Aquatic Chronic 1
86347-14-0, H330, Acute Tox. 2
86347-14-0, H300, Acute Tox. 2
86347-14-0, H336, STOT SE 3
86347-14-0, H370, STOT SE 1
86347-14-0, H372, STOT RE 1
86347-14-0, H400, Aquatic Acute 1
86347-14-0, H410, Aquatic Chronic 1
55219-65-3, H360, Repr. 1B
55219-65-3, H362, Lact.
55219-65-3, H302, Acute Tox. 4
55219-65-3, H411, Aquatic Chronic 2
5915-41-3, H302, Acute Tox. 4
5915-41-3, H373, STOT RE 2
5915-41-3, H400, Aquatic Acute 1
5915-41-3, H410, Aquatic Chronic 1
148-24-3, H360D, Repr. 1B
148-24-3, H301, Acute Tox. 3
148-24-3, H318, Eye Dam. 1
148-24-3, H317, Skin Sens. 1
148-24-3, H400, Aquatic Acute 1
148-24-3, H410, Aquatic Chronic 1
111988-49-9, H351, Carc. 2
111988-49-9, H360FD, Repr. 1B
111988-49-9, H301, Acute Tox. 3
111988-49-9, H332, Acute Tox. 4
111988-49-9, H336, STOT SE 3
111988-49-9, H400, Aquatic Acute 1
111988-49-9, H410, Aquatic Chronic 1
2682-20-4, H330, Acute Tox. 2
2682-20-4, H311, Acute Tox. 3
2682-20-4, H301, Acute Tox. 3
2682-20-4, H314, Skin Corr. 1B
2682-20-4, H318, Eye Dam. 1
2682-20-4, H317, Skin Sens. 1A
2682-20-4, H400, Aquatic Acute 1
2682-20-4, H410, Aquatic Chronic 1
422556-08-9, H317, Skin Sens. 1
422556-08-9, H400, Aquatic Acute 1
422556-08-9, H410, Aquatic Chronic 1
1072-63-5, H360D, Repr. 1B
54-11-5, H330, Acute Tox. 2
54-11-5, H310, Acute Tox. 2
54-11-5, H300, Acute Tox. 2
54-11-5, H411, Aquatic Chronic 2
57-24-9, H310, Acute Tox. 1
57-24-9, H300, Acute Tox. 2
57-24-9, H400, Aquatic Acute 1
57-24-9, H410, Aquatic Chronic 1
64-86-8, H340, Muta. 1B
64-86-8, H300, Acute Tox. 2
357-57-3, H330, Acute Tox. 2
357-57-3, H300, Acute Tox. 2
357-57-3, H412, Aquatic Chronic 3
4845-99-2, H330, Acute Tox. 2
4845-99-2, H300, Acute Tox. 2
4845-99-2, H412, Aquatic Chronic 3
5786-97-0, H330, Acute Tox. 2
5786-97-0, H300, Acute Tox. 2
5786-97-0, H412, Aquatic Chronic 3
68239-26-9, H330, Acute Tox. 2
68239-26-9, H300, Acute Tox. 2
68239-26-9, H412, Aquatic Chronic 3
68310-42-9, H330, Acute Tox. 2
68310-42-9, H300, Acute Tox. 2
68310-42-9, H412, Aquatic Chronic 3
302-27-2, H330, Acute Tox. 2
302-27-2, H300, Acute Tox. 2
51-55-8, H330, Acute Tox. 2
51-55-8, H300, Acute Tox. 2
101-31-5, H330, Acute Tox. 2
101-31-5, H300, Acute Tox. 2
51-34-3, H310, Acute Tox. 1
51-34-3, H330, Acute Tox. 2
51-34-3, H300, Acute Tox. 2
92-13-7, H330, Acute Tox. 2
92-13-7, H300, Acute Tox. 2
58-74-2, H302, Acute Tox. 4
57-47-6, H330, Acute Tox. 2
57-47-6, H300, Acute Tox. 2
71-63-6, H331, Acute Tox. 3
71-63-6, H301, Acute Tox. 3
71-63-6, H373, STOT RE 2
299-42-3, H302, Acute Tox. 4
630-60-4, H331, Acute Tox. 3
630-60-4, H301, Acute Tox. 3
630-60-4, H373, STOT RE 2
11005-63-3, H331, Acute Tox. 3
11005-63-3, H301, Acute Tox. 3
11005-63-3, H373, STOT RE 2
507-60-8, H300, Acute Tox. 2
68784-14-5, H302, Acute Tox. 4
624-83-9, H225, Flam. Liq. 2
624-83-9, H361d, Repr. 2
624-83-9, H330, Acute Tox. 2
624-83-9, H311, Acute Tox. 3
624-83-9, H301, Acute Tox. 3
624-83-9, H335, STOT SE 3
624-83-9, H315, Skin Irrit. 2
624-83-9, H318, Eye Dam. 1
624-83-9, H334, Resp. Sens. 1
624-83-9, H317, Skin Sens. 1
556-61-6, H331, Acute Tox. 3
556-61-6, H301, Acute Tox. 3
556-61-6, H314, Skin Corr. 1B
556-61-6, H317, Skin Sens. 1
556-61-6, H400, Aquatic Acute 1
556-61-6, H410, Aquatic Chronic 1
463-56-9, H332, Acute Tox. 4
463-56-9, H312, Acute Tox. 4
463-56-9, H302, Acute Tox. 4
463-56-9, H412, Aquatic Chronic 3
101-68-8, H351, Carc. 2
101-68-8, H332, Acute Tox. 4
101-68-8, H335, STOT SE 3
101-68-8, H373, STOT RE 2
101-68-8, H315, Skin Irrit. 2
101-68-8, H319, Eye Irrit. 2
101-68-8, H334, Resp. Sens. 1
101-68-8, H317, Skin Sens. 1
2536-05-2, H351, Carc. 2
2536-05-2, H332, Acute Tox. 4
